noINH_DMSO_R2,count
1 , 33779
2 , 14606
3 , 5702
4 , 2436
5 , 1090
6 , 567
7 , 314
8 , 218
9 , 183
10 , 132
11 , 104
12 , 120
13 , 90
14 , 65
15 , 78
16 , 84
17 , 50
18 , 60
19 , 58
20 , 55
21 , 61
22 , 45
23 , 49
24 , 45
25 , 33
26 , 25
27 , 28
28 , 41
29 , 36
30 , 24
31 , 33
32 , 19
33 , 24
34 , 12
35 , 19
36 , 22
37 , 20
38 , 23
39 , 18
40 , 10
41 , 16
42 , 14
43 , 14
44 , 9
45 , 7
46 , 4
47 , 2
48 , 6
49 , 11
50 , 12
51 , 4
52 , 7
53 , 7
54 , 2
55 , 7
56 , 5
57 , 5
58 , 4
59 , 2
60 , 8
61 , 7
62 , 5
63 , 4
64 , 1
65 , 6
66 , 1
67 , 1
68 , 6
69 , 2
70 , 3
71 , 6
73 , 5
74 , 3
75 , 3
76 , 2
77 , 1
78 , 2
79 , 4
80 , 3
83 , 5
84 , 2
85 , 1
86 , 3
87 , 2
89 , 3
90 , 1
91 , 2
92 , 1
93 , 1
94 , 3
95 , 2
96 , 5
97 , 2
99 , 1
100 , 1
101 , 1
102 , 4
105 , 1
107 , 1
108 , 1
112 , 2
113 , 3
114 , 2
115 , 1
116 , 1
118 , 1
119 , 1
121 , 1
124 , 4
125 , 1
126 , 2
127 , 2
129 , 1
130 , 3
131 , 2
132 , 1
133 , 1
134 , 1
135 , 1
137 , 3
146 , 1
147 , 2
150 , 1
157 , 1
158 , 1
162 , 1
163 , 1
165 , 1
167 , 1
168 , 1
172 , 1
182 , 1
184 , 1
186 , 1
188 , 1
190 , 3
192 , 2
193 , 1
198 , 1
201 , 1
204 , 1
209 , 1
211 , 1
233 , 1
234 , 1
235 , 2
249 , 1
256 , 1
258 , 1
259 , 1
264 , 1
268 , 2
280 , 2
287 , 1
288 , 1
294 , 1
302 , 1
310 , 1
313 , 1
316 , 1
318 , 2
325 , 1
329 , 1
333 , 1
343 , 1
350 , 1
363 , 1
366 , 1
371 , 1
378 , 1
381 , 1
404 , 2
413 , 1
414 , 1
424 , 1
432 , 1
439 , 1
449 , 1
460 , 1
461 , 1
471 , 1
502 , 1
504 , 1
510 , 1
522 , 1
532 , 1
534 , 2
538 , 1
546 , 1
549 , 1
553 , 1
554 , 1
564 , 1
568 , 1
577 , 1
583 , 1
594 , 1
605 , 1
616 , 1
618 , 1
621 , 1
626 , 1
627 , 1
633 , 2
642 , 1
645 , 1
648 , 2
649 , 1
652 , 1
658 , 1
667 , 1
679 , 1
692 , 3
715 , 1
718 , 1
729 , 1
731 , 2
735 , 1
741 , 1
751 , 1
752 , 1
760 , 1
763 , 1
766 , 1
771 , 1
773 , 1
775 , 1
782 , 1
784 , 1
787 , 3
788 , 1
801 , 1
804 , 1
813 , 1
814 , 1
838 , 1
841 , 1
845 , 1
853 , 2
880 , 1
883 , 1
884 , 1
909 , 1
910 , 1
916 , 1
919 , 1
921 , 2
922 , 1
926 , 1
935 , 1
937 , 1
940 , 1
942 , 1
945 , 1
952 , 1
953 , 1
965 , 1
973 , 1
981 , 1
988 , 1
989 , 1
994 , 1
996 , 1
998 , 1
1005 , 1
1010 , 1
1021 , 1
1027 , 1
1041 , 1
1051 , 1
1053 , 1
1054 , 1
1058 , 1
1062 , 1
1064 , 1
1070 , 1
1089 , 1
1095 , 1
1096 , 1
1097 , 1
1103 , 1
1104 , 1
1116 , 1
1120 , 1
1130 , 1
1131 , 1
1150 , 1
1161 , 2
1163 , 1
1166 , 1
1169 , 1
1180 , 1
1183 , 1
1188 , 1
1204 , 1
1209 , 1
1211 , 1
1218 , 1
1223 , 1
1225 , 1
1230 , 2
1232 , 1
1235 , 1
1266 , 1
1272 , 1
1277 , 1
1283 , 1
1295 , 1
1319 , 1
1331 , 1
1334 , 1
1346 , 1
1348 , 1
1362 , 1
1374 , 1
1382 , 1
1386 , 1
1391 , 1
1395 , 1
1398 , 1
1400 , 2
1401 , 1
1407 , 1
1417 , 1
1484 , 1
1489 , 1
1499 , 1
1501 , 1
1510 , 1
1537 , 1
1546 , 1
1547 , 1
1580 , 1
1592 , 1
1627 , 1
1632 , 1
1634 , 1
1644 , 1
1661 , 1
1670 , 1
1754 , 1
1762 , 1
1796 , 1
1827 , 1
1855 , 2
1857 , 1
1875 , 1
1925 , 1
1969 , 1
1970 , 1
1976 , 1
1994 , 1
2006 , 1
2026 , 1
2047 , 1
2049 , 1
2060 , 1
2078 , 1
2079 , 1
2136 , 1
2166 , 1
2274 , 1
2303 , 1
2308 , 1
2312 , 1
2360 , 1
2370 , 1
2413 , 1
2466 , 1
2476 , 1
2581 , 1
2618 , 1
2743 , 1
2781 , 1
2788 , 1
2837 , 1
2840 , 1
3030 , 1
3049 , 1
3128 , 1
3161 , 1
3178 , 1
3384 , 1
3409 , 1
3508 , 1
3517 , 1
3534 , 1
3564 , 1
3701 , 1
3843 , 1
3948 , 1
3973 , 1
4127 , 1
4131 , 1
4242 , 1
4263 , 1
4671 , 1
5141 , 1
5297 , 1
5498 , 1
6754 , 1
7084 , 1
7899 , 1
12803 , 1
15586 , 1
19272 , 1
22219 , 1
30764 , 1
34535 , 1
