noINH_DMSO_R2,count
1 , 32539
2 , 11699
3 , 3908
4 , 1342
5 , 579
6 , 255
7 , 137
8 , 84
9 , 60
10 , 36
11 , 32
12 , 23
13 , 26
14 , 14
15 , 21
16 , 17
17 , 17
18 , 11
19 , 14
20 , 6
21 , 7
22 , 8
23 , 7
24 , 1
25 , 3
26 , 4
27 , 12
28 , 4
29 , 3
30 , 4
31 , 3
32 , 5
33 , 4
34 , 8
35 , 5
38 , 4
39 , 2
40 , 1
41 , 2
42 , 2
43 , 1
45 , 3
47 , 1
48 , 5
49 , 2
52 , 3
54 , 2
55 , 2
56 , 2
57 , 1
58 , 2
60 , 1
61 , 1
62 , 2
63 , 1
65 , 1
66 , 1
68 , 1
69 , 1
71 , 1
73 , 2
74 , 2
75 , 2
76 , 3
77 , 1
78 , 1
79 , 1
83 , 2
85 , 1
87 , 1
88 , 1
89 , 2
90 , 1
91 , 1
92 , 1
94 , 2
98 , 2
99 , 1
101 , 3
102 , 1
105 , 1
107 , 1
108 , 1
112 , 1
115 , 1
116 , 1
118 , 2
119 , 2
120 , 1
124 , 1
125 , 3
126 , 1
130 , 1
132 , 1
137 , 1
140 , 1
142 , 1
150 , 1
155 , 2
160 , 2
161 , 1
162 , 1
164 , 1
168 , 3
170 , 1
177 , 1
178 , 1
184 , 1
192 , 1
197 , 1
198 , 1
202 , 1
204 , 1
215 , 1
219 , 1
221 , 1
227 , 1
229 , 1
237 , 1
238 , 1
242 , 1
243 , 1
267 , 2
272 , 1
275 , 1
283 , 1
290 , 1
293 , 1
296 , 1
300 , 2
302 , 1
303 , 1
309 , 1
310 , 1
312 , 1
314 , 1
317 , 1
328 , 1
353 , 1
366 , 1
371 , 2
381 , 1
384 , 1
390 , 2
396 , 1
403 , 1
417 , 1
430 , 2
486 , 1
504 , 1
526 , 1
527 , 1
528 , 2
537 , 1
539 , 1
551 , 1
574 , 1
591 , 1
595 , 1
598 , 1
601 , 1
611 , 1
612 , 1
616 , 1
618 , 1
619 , 1
623 , 1
626 , 1
640 , 1
671 , 1
673 , 1
676 , 1
682 , 1
696 , 1
706 , 1
709 , 1
714 , 1
717 , 1
727 , 1
728 , 2
732 , 1
737 , 1
739 , 2
745 , 1
750 , 1
753 , 1
757 , 1
767 , 2
797 , 1
802 , 1
806 , 1
811 , 1
847 , 1
863 , 1
868 , 1
870 , 1
871 , 1
876 , 1
882 , 1
886 , 1
891 , 1
893 , 1
899 , 1
903 , 1
904 , 1
921 , 1
923 , 1
939 , 1
941 , 1
942 , 1
946 , 2
949 , 1
958 , 1
965 , 2
983 , 1
992 , 1
1005 , 1
1007 , 1
1009 , 1
1012 , 1
1026 , 1
1030 , 1
1037 , 1
1041 , 1
1062 , 1
1067 , 1
1071 , 1
1078 , 1
1079 , 1
1083 , 1
1106 , 1
1108 , 1
1114 , 1
1123 , 1
1124 , 1
1126 , 1
1127 , 1
1135 , 1
1141 , 1
1152 , 1
1159 , 1
1162 , 1
1164 , 1
1166 , 1
1171 , 2
1177 , 1
1178 , 1
1207 , 1
1216 , 1
1225 , 1
1237 , 1
1252 , 1
1268 , 1
1278 , 1
1299 , 1
1303 , 1
1307 , 1
1308 , 1
1320 , 1
1327 , 1
1331 , 1
1337 , 1
1343 , 1
1345 , 1
1346 , 1
1406 , 1
1413 , 1
1420 , 1
1421 , 1
1428 , 1
1429 , 1
1472 , 1
1486 , 1
1496 , 1
1514 , 1
1556 , 1
1563 , 1
1564 , 1
1570 , 1
1581 , 1
1589 , 1
1670 , 1
1691 , 1
1707 , 1
1747 , 1
1775 , 1
1778 , 1
1779 , 1
1802 , 1
1845 , 1
1917 , 1
1947 , 1
1949 , 1
1960 , 1
1986 , 1
2056 , 1
2077 , 1
2167 , 1
2200 , 1
2205 , 1
2248 , 1
2251 , 1
2311 , 1
2344 , 1
2347 , 1
2452 , 1
2498 , 1
2607 , 1
2669 , 1
2718 , 1
2724 , 1
2872 , 1
3021 , 1
3045 , 1
3227 , 1
3259 , 1
3338 , 1
3363 , 1
3377 , 1
3525 , 1
3677 , 1
3804 , 1
3810 , 1
3953 , 1
3965 , 1
4047 , 1
4085 , 1
4330 , 1
4465 , 1
5245 , 1
6434 , 1
7538 , 1
