No_E_R2,count
1 , 30324
2 , 9993
3 , 3391
4 , 1351
5 , 611
6 , 333
7 , 239
8 , 157
9 , 139
10 , 82
11 , 76
12 , 58
13 , 47
14 , 48
15 , 40
16 , 46
17 , 47
18 , 26
19 , 29
20 , 19
21 , 24
22 , 17
23 , 23
24 , 19
25 , 13
26 , 17
27 , 20
28 , 13
29 , 11
30 , 9
31 , 7
32 , 7
33 , 12
34 , 4
35 , 11
36 , 5
37 , 4
38 , 3
39 , 5
40 , 4
41 , 3
42 , 4
43 , 2
44 , 3
45 , 2
46 , 3
47 , 8
48 , 4
49 , 3
50 , 4
51 , 2
52 , 3
53 , 1
54 , 3
55 , 3
58 , 1
59 , 1
60 , 1
61 , 1
62 , 1
64 , 2
65 , 2
66 , 2
68 , 1
69 , 2
70 , 1
71 , 1
73 , 2
75 , 1
76 , 1
79 , 2
81 , 1
83 , 1
84 , 1
86 , 1
88 , 1
92 , 1
101 , 2
104 , 1
105 , 1
106 , 1
107 , 1
108 , 1
113 , 1
114 , 1
116 , 1
119 , 1
120 , 1
122 , 1
124 , 1
125 , 1
126 , 1
130 , 1
140 , 1
141 , 2
145 , 1
150 , 1
155 , 1
156 , 3
158 , 1
162 , 1
163 , 1
164 , 1
165 , 2
166 , 1
167 , 1
170 , 1
174 , 1
178 , 1
179 , 1
182 , 1
183 , 1
184 , 1
188 , 1
190 , 1
193 , 1
196 , 1
199 , 1
200 , 1
201 , 1
212 , 1
220 , 1
221 , 1
223 , 1
227 , 2
230 , 1
232 , 1
233 , 3
234 , 1
238 , 1
240 , 1
243 , 1
245 , 1
246 , 1
255 , 1
257 , 1
258 , 1
261 , 1
281 , 1
284 , 1
296 , 1
298 , 2
303 , 1
305 , 1
313 , 1
315 , 1
318 , 1
320 , 1
321 , 2
325 , 1
326 , 1
328 , 1
329 , 1
338 , 1
341 , 1
343 , 1
344 , 1
346 , 1
347 , 1
352 , 1
354 , 1
360 , 1
361 , 1
384 , 2
389 , 1
392 , 1
393 , 1
394 , 1
399 , 1
404 , 1
407 , 1
411 , 1
413 , 1
414 , 1
418 , 1
423 , 2
429 , 1
430 , 1
434 , 1
436 , 1
443 , 1
444 , 1
445 , 1
455 , 1
456 , 2
458 , 2
461 , 1
463 , 1
464 , 3
467 , 1
470 , 1
472 , 1
474 , 1
477 , 1
478 , 1
480 , 3
487 , 1
493 , 1
495 , 2
501 , 1
503 , 1
505 , 2
506 , 1
508 , 2
513 , 1
519 , 1
520 , 1
524 , 1
530 , 1
544 , 1
545 , 1
555 , 1
557 , 1
559 , 1
560 , 1
563 , 1
565 , 1
566 , 2
569 , 1
570 , 1
572 , 1
579 , 2
582 , 1
588 , 1
589 , 2
592 , 1
593 , 1
595 , 2
597 , 1
600 , 1
607 , 1
608 , 2
614 , 3
615 , 1
617 , 1
630 , 1
634 , 1
636 , 1
637 , 2
639 , 1
644 , 1
645 , 1
647 , 1
650 , 1
653 , 1
658 , 1
660 , 1
661 , 2
672 , 1
675 , 1
678 , 3
680 , 2
682 , 2
689 , 1
691 , 1
697 , 2
698 , 1
699 , 1
709 , 1
712 , 1
716 , 1
717 , 1
724 , 1
726 , 2
728 , 1
730 , 2
732 , 2
734 , 1
739 , 1
742 , 1
743 , 1
746 , 1
750 , 2
751 , 1
755 , 1
759 , 1
762 , 1
765 , 1
766 , 1
773 , 1
774 , 1
776 , 1
783 , 1
785 , 2
786 , 1
788 , 1
791 , 1
794 , 2
806 , 1
807 , 2
811 , 1
813 , 1
815 , 2
816 , 1
817 , 1
818 , 1
819 , 1
821 , 2
823 , 1
828 , 1
832 , 1
838 , 2
851 , 1
867 , 1
873 , 1
875 , 1
878 , 1
887 , 1
890 , 1
909 , 1
910 , 1
932 , 1
947 , 1
958 , 1
963 , 1
971 , 1
976 , 1
978 , 1
988 , 1
996 , 2
1003 , 2
1004 , 1
1005 , 1
1007 , 1
1009 , 1
1024 , 1
1040 , 1
1043 , 1
1054 , 1
1057 , 2
1070 , 1
1076 , 1
1085 , 1
1087 , 2
1088 , 1
1100 , 1
1111 , 1
1121 , 1
1123 , 1
1142 , 1
1146 , 1
1147 , 1
1155 , 1
1161 , 1
1166 , 1
1172 , 1
1175 , 1
1210 , 1
1217 , 1
1220 , 1
1227 , 1
1239 , 1
1252 , 1
1256 , 1
1258 , 1
1262 , 1
1267 , 1
1278 , 1
1282 , 1
1293 , 1
1299 , 1
1308 , 1
1313 , 1
1343 , 1
1352 , 1
1356 , 1
1361 , 1
1363 , 1
1367 , 1
1372 , 1
1383 , 1
1395 , 2
1398 , 1
1404 , 1
1405 , 1
1409 , 2
1426 , 1
1431 , 1
1440 , 1
1480 , 1
1482 , 1
1484 , 1
1485 , 1
1491 , 1
1494 , 1
1519 , 1
1528 , 1
1536 , 1
1538 , 1
1549 , 1
1567 , 1
1575 , 1
1589 , 1
1593 , 1
1633 , 1
1634 , 1
1638 , 1
1657 , 1
1672 , 1
1729 , 1
1730 , 1
1785 , 2
1791 , 1
1849 , 1
1943 , 1
1960 , 1
2009 , 1
2087 , 1
2120 , 1
2613 , 1
3675 , 1
5841 , 1
6388 , 1
9491 , 1
11300 , 1
12013 , 1
12530 , 1
