No_E_R2,count
1 , 29881
2 , 9282
3 , 2903
4 , 1031
5 , 377
6 , 189
7 , 135
8 , 65
9 , 66
10 , 31
11 , 36
12 , 15
13 , 20
14 , 17
15 , 18
16 , 14
17 , 17
18 , 16
19 , 7
20 , 6
21 , 5
22 , 9
23 , 10
24 , 7
25 , 6
26 , 7
27 , 12
28 , 4
29 , 2
30 , 5
31 , 2
32 , 8
33 , 6
34 , 3
35 , 6
36 , 1
37 , 3
38 , 3
39 , 4
40 , 3
41 , 2
42 , 2
45 , 3
46 , 1
47 , 4
48 , 2
49 , 5
50 , 4
52 , 1
53 , 1
54 , 3
58 , 2
60 , 1
61 , 2
62 , 1
64 , 2
65 , 3
66 , 1
67 , 1
69 , 1
73 , 1
74 , 1
77 , 1
79 , 1
81 , 1
82 , 1
85 , 1
88 , 2
92 , 1
93 , 1
99 , 1
101 , 2
105 , 1
106 , 1
107 , 2
112 , 2
115 , 1
119 , 1
123 , 1
125 , 1
129 , 1
134 , 1
138 , 1
140 , 1
141 , 1
142 , 1
147 , 1
152 , 1
154 , 1
155 , 1
156 , 2
160 , 1
162 , 3
163 , 1
164 , 1
165 , 1
168 , 1
173 , 1
177 , 1
178 , 2
180 , 1
181 , 1
182 , 1
186 , 2
188 , 1
191 , 1
196 , 1
198 , 1
199 , 1
206 , 1
211 , 1
219 , 1
222 , 1
225 , 1
226 , 2
227 , 1
228 , 1
231 , 3
233 , 1
237 , 1
241 , 2
243 , 1
252 , 1
254 , 1
256 , 1
259 , 1
280 , 1
295 , 1
296 , 1
297 , 1
301 , 1
303 , 1
309 , 1
311 , 1
314 , 1
317 , 1
318 , 1
319 , 1
320 , 1
322 , 1
324 , 1
328 , 1
335 , 1
336 , 1
338 , 1
339 , 1
342 , 1
345 , 1
352 , 1
353 , 1
354 , 1
357 , 1
380 , 1
381 , 1
384 , 1
387 , 2
396 , 1
401 , 2
409 , 2
411 , 1
414 , 1
416 , 1
421 , 1
425 , 1
433 , 1
440 , 1
441 , 2
451 , 2
452 , 2
455 , 1
457 , 2
459 , 1
460 , 1
462 , 2
463 , 1
464 , 1
465 , 1
470 , 1
472 , 1
474 , 1
476 , 1
479 , 1
480 , 1
489 , 1
491 , 1
494 , 1
496 , 1
497 , 1
498 , 2
499 , 1
500 , 2
513 , 1
514 , 1
515 , 1
516 , 1
519 , 1
533 , 1
535 , 1
547 , 1
551 , 1
552 , 1
555 , 1
556 , 2
558 , 1
559 , 1
563 , 1
564 , 1
568 , 1
573 , 1
575 , 2
578 , 1
581 , 1
582 , 2
588 , 1
590 , 1
592 , 2
599 , 1
601 , 1
606 , 1
607 , 1
609 , 1
612 , 1
615 , 1
622 , 1
628 , 2
630 , 1
633 , 1
636 , 1
639 , 1
641 , 1
642 , 1
644 , 1
647 , 1
652 , 1
654 , 1
657 , 1
663 , 1
666 , 1
667 , 1
669 , 1
672 , 1
673 , 1
674 , 1
676 , 1
678 , 1
682 , 1
684 , 1
689 , 1
691 , 2
699 , 1
705 , 1
706 , 1
709 , 1
712 , 1
717 , 1
718 , 1
719 , 1
721 , 1
722 , 1
724 , 1
727 , 2
734 , 1
735 , 2
737 , 1
739 , 1
742 , 1
746 , 1
750 , 1
753 , 1
758 , 2
759 , 1
760 , 1
765 , 1
771 , 2
773 , 1
775 , 1
776 , 1
777 , 1
783 , 1
785 , 1
786 , 1
796 , 1
797 , 1
798 , 1
802 , 1
804 , 3
809 , 2
811 , 1
812 , 3
822 , 1
823 , 1
824 , 1
832 , 1
840 , 1
853 , 1
860 , 1
865 , 1
869 , 1
876 , 1
881 , 1
898 , 1
907 , 1
924 , 1
938 , 1
948 , 1
951 , 1
960 , 2
963 , 1
981 , 1
983 , 1
987 , 1
990 , 1
991 , 1
994 , 1
996 , 2
998 , 1
1008 , 1
1032 , 1
1033 , 1
1040 , 1
1041 , 1
1047 , 1
1060 , 1
1067 , 1
1075 , 1
1076 , 1
1077 , 1
1078 , 1
1088 , 1
1095 , 1
1108 , 1
1112 , 1
1134 , 1
1135 , 1
1137 , 1
1141 , 1
1148 , 1
1150 , 1
1157 , 1
1164 , 1
1190 , 1
1208 , 1
1212 , 1
1219 , 1
1230 , 1
1238 , 1
1242 , 1
1244 , 1
1249 , 1
1256 , 1
1265 , 1
1271 , 1
1283 , 1
1286 , 1
1295 , 1
1301 , 1
1333 , 1
1340 , 1
1342 , 1
1344 , 1
1346 , 1
1353 , 1
1363 , 1
1371 , 1
1375 , 1
1386 , 1
1387 , 2
1389 , 1
1391 , 1
1397 , 1
1415 , 1
1427 , 1
1465 , 1
1466 , 1
1468 , 1
1473 , 1
1474 , 1
1478 , 1
1505 , 1
1515 , 1
1523 , 1
1525 , 1
1536 , 1
1548 , 1
1565 , 1
1570 , 1
1574 , 1
1594 , 1
1623 , 1
1624 , 1
1647 , 1
1651 , 1
1709 , 1
1714 , 1
1766 , 1
1768 , 2
1831 , 1
1925 , 1
1942 , 1
1989 , 1
2062 , 1
2100 , 1
2584 , 1
