noINH_DMSO_R1,count
1 , 34967
2 , 16739
3 , 7179
4 , 3020
5 , 1307
6 , 614
7 , 330
8 , 171
9 , 108
10 , 99
11 , 54
12 , 42
13 , 33
14 , 38
15 , 16
16 , 20
17 , 17
18 , 28
19 , 14
20 , 12
21 , 15
22 , 12
23 , 6
24 , 9
25 , 10
26 , 10
27 , 7
28 , 12
29 , 6
30 , 4
31 , 5
32 , 7
33 , 7
34 , 4
35 , 2
36 , 7
37 , 6
38 , 4
39 , 1
40 , 2
41 , 1
42 , 3
43 , 3
44 , 1
45 , 8
46 , 2
47 , 5
48 , 4
51 , 1
52 , 2
53 , 2
54 , 3
55 , 1
56 , 2
58 , 1
60 , 4
61 , 2
63 , 2
64 , 1
65 , 2
66 , 2
67 , 1
68 , 1
69 , 1
70 , 3
71 , 3
73 , 1
74 , 1
76 , 1
77 , 1
79 , 1
80 , 1
81 , 1
82 , 2
83 , 1
85 , 1
86 , 2
87 , 2
89 , 1
90 , 1
97 , 1
99 , 1
100 , 2
103 , 2
106 , 1
108 , 2
109 , 1
111 , 2
112 , 1
113 , 1
115 , 2
119 , 1
122 , 2
130 , 1
135 , 2
136 , 2
148 , 1
150 , 1
152 , 1
154 , 1
155 , 1
162 , 1
166 , 1
169 , 1
173 , 1
177 , 1
181 , 1
185 , 1
194 , 1
195 , 1
196 , 1
234 , 3
253 , 1
254 , 1
258 , 1
302 , 1
318 , 1
342 , 1
349 , 1
350 , 1
353 , 1
378 , 1
396 , 1
399 , 1
405 , 1
410 , 1
420 , 1
423 , 1
455 , 1
459 , 1
464 , 1
481 , 1
485 , 1
491 , 1
545 , 1
556 , 1
594 , 1
606 , 1
623 , 1
677 , 1
744 , 1
880 , 1
889 , 1
905 , 1
998 , 1
1004 , 1
1125 , 1
1144 , 1
1159 , 1
1182 , 1
1188 , 1
1237 , 1
1245 , 1
1258 , 1
1335 , 1
1397 , 1
1461 , 1
1473 , 1
1532 , 1
1534 , 1
1535 , 1
1584 , 1
1585 , 1
1620 , 1
1630 , 1
1636 , 1
1714 , 1
1753 , 1
1788 , 1
1827 , 1
1833 , 1
1857 , 1
1873 , 1
1912 , 1
1919 , 1
1921 , 1
1922 , 1
2012 , 1
2025 , 1
2084 , 1
2142 , 1
2179 , 1
2244 , 1
2354 , 1
2392 , 1
2499 , 1
2507 , 1
2619 , 1
2627 , 2
2654 , 1
2657 , 1
2780 , 1
2852 , 1
2939 , 1
2995 , 1
3047 , 1
3062 , 1
3087 , 1
3115 , 1
3151 , 1
3189 , 1
3273 , 1
3278 , 1
3290 , 1
3337 , 1
3540 , 1
4614 , 1
4821 , 1
4899 , 1
5276 , 1
5615 , 1
6863 , 1
7061 , 1
7944 , 1
8876 , 1
10268 , 1
