repeat_length,D103_10uM_R1,D103_10uM_R2,No_E_R1,No_E_R2,noINH_DMSO_R1,noINH_DMSO_R2
0,1616,2468.0,5.0,588.0,1191,11609.0
3,3362,2668.0,3.0,4.0,3988,3886.0
6,1567,3813.0,2.0,2274.0,5458,969.0
9,17133,8585.0,1448.0,5296.0,14289,3343.0
12,1184,2671.0,3575.0,3265.0,7020,3187.0
15,2471,1942.0,2.0,908.0,4196,12355.0
18,22951,8199.0,6.0,1337.0,18756,19349.0
21,23646,7968.0,16.0,28.0,4904,21447.0
24,5637,15941.0,966.0,2103.0,12468,20994.0
27,15678,11343.0,1817.0,51.0,18199,24380.0
30,25683,24290.0,41.0,146.0,37489,29383.0
33,26895,21043.0,61.0,1303.0,18947,28120.0
36,7018,17541.0,48.0,112.0,12577,5557.0
39,1626,8398.0,69.0,145.0,9361,18633.0
42,4219,4679.0,114.0,171.0,7244,17153.0
45,4716,2857.0,338.0,300.0,248,15445.0
48,6071,8744.0,1994.0,1294.0,665,19540.0
51,507,11440.0,9355.0,7770.0,4763,12933.0
54,3725,29582.0,48248.0,35912.0,34638,23827.0
57,19100,68914.0,217800.0,159718.0,90051,47808.0
60,1315,5359.0,2634.0,2521.0,2713,13100.0
63,4694,2599.0,119.0,224.0,9093,4452.0
66,80,921.0,58.0,189.0,2660,3841.0
69,52,1146.0,72.0,229.0,75,269.0
72,56,284.0,73.0,451.0,189,938.0
75,98,554.0,70.0,1068.0,66,3060.0
78,63,1013.0,74.0,260.0,139,1857.0
81,62,302.0,78.0,193.0,694,3158.0
84,97,318.0,98.0,201.0,2194,816.0
87,422,125.0,97.0,212.0,86,619.0
90,2527,137.0,90.0,256.0,116,1572.0
93,126,188.0,131.0,285.0,190,1520.0
96,118,261.0,130.0,296.0,451,208.0
99,75,545.0,169.0,315.0,70,322.0
102,107,497.0,213.0,337.0,610,92.0
105,91,204.0,185.0,436.0,250,92.0
108,81,322.0,251.0,590.0,4158,110.0
111,102,490.0,170.0,832.0,1146,131.0
114,85,292.0,193.0,344.0,2160,134.0
