repeat_length,count
0,1616
3,3362
6,1567
9,17133
12,1184
15,2471
18,22951
21,23646
24,5637
27,15678
30,25683
33,26895
36,7018
39,1626
42,4219
45,4716
48,6071
51,507
54,3725
57,19100
60,1315
63,4694
66,80
69,52
72,56
75,98
78,63
81,62
84,97
87,422
90,2527
93,126
96,118
99,75
102,107
105,91
108,81
111,102
114,85
117,112
120,144
123,289
126,632
129,1629
132,4354
135,9935
138,17263
141,16612
144,2844
147,4722
150,4330
153,1273
156,130
159,125
162,60
165,111
168,56
171,63
174,56
177,46
180,53
183,41
186,54
189,54
192,39
195,43
198,37
201,33
204,40
207,29
210,28
213,38
216,36
219,40
222,40
225,36
228,32
231,42
234,32
237,36
240,29
243,36
246,37
249,39
252,37
255,33
258,42
261,27
264,31
267,18
270,42
273,31
276,36
279,35
282,37
285,28
288,32
291,30
294,34
297,29
300,29
303,33
306,39
309,24
312,24
315,38
318,22
321,22
324,40
327,28
330,34
333,33
336,41
339,34
342,38
345,33
348,36
351,25
354,31
357,29
360,27
363,28
366,36
369,34
372,43
375,29
378,36
381,29
384,37
387,36
390,28
393,33
396,24
399,26
402,27
405,40
408,31
411,28
414,36
417,25
420,29
423,28
426,41
429,31
432,32
435,33
438,21
441,42
444,34
447,34
450,19
