repeat_length,count
0,5
3,3
6,2
9,1448
12,3575
15,2
18,6
21,16
24,966
27,1817
30,41
33,61
36,48
39,69
42,114
45,338
48,1994
51,9355
54,48248
57,217800
60,2634
63,119
66,58
69,72
72,73
75,70
78,74
81,78
84,98
87,97
90,90
93,131
96,130
99,169
102,213
105,185
108,251
111,170
114,193
117,189
120,206
123,250
126,208
129,290
132,460
135,1121
138,3137
141,8596
144,20744
147,39309
150,42518
153,5194
156,354
159,122
162,38
165,371
168,107
171,45
174,29
177,27
180,30
183,21
186,15
189,12
192,14
195,9
198,10
201,7
204,2
207,2
210,5
213,3
216,2
222,2
228,1
231,1
234,1
237,1
240,2
243,3
267,1
273,1
276,1
285,1
288,2
294,1
300,1
315,1
321,2
324,1
333,1
339,1
342,1
360,1
366,2
372,2
375,1
393,1
399,1
411,3
417,1
426,1
435,1
441,1
444,1
450,4
