repeat_length,count
0,1191
3,3988
6,5458
9,14289
12,7020
15,4196
18,18756
21,4904
24,12468
27,18199
30,37489
33,18947
36,12577
39,9361
42,7244
45,248
48,665
51,4763
54,34638
57,90051
60,2713
63,9093
66,2660
69,75
72,189
75,66
78,139
81,694
84,2194
87,86
90,116
93,190
96,451
99,70
102,610
105,250
108,4158
111,1146
114,2160
117,101
120,65
123,62
126,101
129,95
132,142
135,337
138,827
141,2341
144,4505
147,5712
150,1920
153,82
156,18
159,14
162,16
165,71
168,20
171,15
174,12
177,11
180,10
183,9
186,9
189,6
192,7
195,12
198,6
201,5
204,11
207,10
210,14
213,8
216,2
219,9
222,10
225,9
228,3
231,6
234,7
237,10
240,5
243,7
246,10
249,11
252,6
255,3
258,7
261,9
264,7
267,10
270,8
273,14
276,5
279,8
282,8
285,8
288,7
291,13
294,15
297,11
300,10
303,13
306,12
309,7
312,16
315,7
318,7
321,13
324,13
327,10
330,6
333,7
336,7
339,7
342,6
345,8
348,9
351,9
354,6
357,11
360,7
363,10
366,6
369,2
372,9
375,13
378,8
381,14
384,12
387,9
390,8
393,8
396,9
399,6
402,4
405,12
408,10
411,15
414,8
417,11
420,7
423,13
426,7
429,7
432,9
435,11
438,7
441,6
444,10
447,10
450,13
